NOMBRE BARRA,NIVEL TENSIÓN,AÑO,MES,DÍA,HORA,CMg USD,,CMg Promedio,33.2
C.DOMINADOR___220,220,2019,11,1,1,33.4,,,
C.DOMINADOR___220,220,2019,11,1,2,33.4,,,
C.DOMINADOR___220,220,2019,11,1,3,32.2,,,
C.DOMINADOR___220,220,2019,11,1,4,31.9,,,
C.DOMINADOR___220,220,2019,11,1,5,31.9,,,
C.DOMINADOR___220,220,2019,11,1,6,31.9,,,
C.DOMINADOR___220,220,2019,11,1,7,31.9,,,
C.DOMINADOR___220,220,2019,11,1,8,31,,,
C.DOMINADOR___220,220,2019,11,1,9,29.2,,,
C.DOMINADOR___220,220,2019,11,1,10,29.2,,,
C.DOMINADOR___220,220,2019,11,1,11,29.2,,,
C.DOMINADOR___220,220,2019,11,1,12,29.2,,,
C.DOMINADOR___220,220,2019,11,1,13,29.2,,,
C.DOMINADOR___220,220,2019,11,1,14,29.2,,,
C.DOMINADOR___220,220,2019,11,1,15,29.2,,,
C.DOMINADOR___220,220,2019,11,1,16,27.3,,,
C.DOMINADOR___220,220,2019,11,1,17,21.7,,,
C.DOMINADOR___220,220,2019,11,1,18,25.9,,,
C.DOMINADOR___220,220,2019,11,1,19,30.1,,,
C.DOMINADOR___220,220,2019,11,1,20,32.5,,,
C.DOMINADOR___220,220,2019,11,1,21,32.7,,,
C.DOMINADOR___220,220,2019,11,1,22,32.7,,,
C.DOMINADOR___220,220,2019,11,1,23,31.9,,,
C.DOMINADOR___220,220,2019,11,1,24,31.8,,,
C.DOMINADOR___220,220,2019,11,2,8,30.5,,,
C.DOMINADOR___220,220,2019,11,2,9,25.6,,,
C.DOMINADOR___220,220,2019,11,2,10,25.6,,,
C.DOMINADOR___220,220,2019,11,2,11,25.6,,,
C.DOMINADOR___220,220,2019,11,2,12,25.6,,,
C.DOMINADOR___220,220,2019,11,2,13,24.5,,,
C.DOMINADOR___220,220,2019,11,2,14,25.3,,,
C.DOMINADOR___220,220,2019,11,2,15,25.6,,,
C.DOMINADOR___220,220,2019,11,2,16,25.6,,,
C.DOMINADOR___220,220,2019,11,2,17,25.6,,,
C.DOMINADOR___220,220,2019,11,2,18,25.6,,,
C.DOMINADOR___220,220,2019,11,2,19,30.1,,,
C.DOMINADOR___220,220,2019,11,2,20,31.9,,,
C.DOMINADOR___220,220,2019,11,2,21,33.3,,,
C.DOMINADOR___220,220,2019,11,2,22,32.9,,,
C.DOMINADOR___220,220,2019,11,2,1,31.9,,,
C.DOMINADOR___220,220,2019,11,2,2,31.9,,,
C.DOMINADOR___220,220,2019,11,2,3,31.9,,,
C.DOMINADOR___220,220,2019,11,2,4,31.9,,,
C.DOMINADOR___220,220,2019,11,2,5,31.9,,,
C.DOMINADOR___220,220,2019,11,2,6,31.9,,,
C.DOMINADOR___220,220,2019,11,2,7,31.9,,,
C.DOMINADOR___220,220,2019,11,2,23,65.7,,,
C.DOMINADOR___220,220,2019,11,2,24,141.1,,,
C.DOMINADOR___220,220,2019,11,4,5,33.1,,,
C.DOMINADOR___220,220,2019,11,4,6,39.2,,,
C.DOMINADOR___220,220,2019,11,4,7,39.2,,,
C.DOMINADOR___220,220,2019,11,4,8,39,,,
C.DOMINADOR___220,220,2019,11,4,9,30.1,,,
C.DOMINADOR___220,220,2019,11,4,10,30.1,,,
C.DOMINADOR___220,220,2019,11,4,11,30.1,,,
C.DOMINADOR___220,220,2019,11,4,12,30.1,,,
C.DOMINADOR___220,220,2019,11,4,13,30.1,,,
C.DOMINADOR___220,220,2019,11,4,14,30.1,,,
C.DOMINADOR___220,220,2019,11,4,15,30,,,
C.DOMINADOR___220,220,2019,11,4,16,29.9,,,
C.DOMINADOR___220,220,2019,11,4,17,29.9,,,
C.DOMINADOR___220,220,2019,11,4,18,29.9,,,
C.DOMINADOR___220,220,2019,11,4,19,32.6,,,
C.DOMINADOR___220,220,2019,11,4,20,36.5,,,
C.DOMINADOR___220,220,2019,11,4,21,37.9,,,
C.DOMINADOR___220,220,2019,11,4,22,37.9,,,
C.DOMINADOR___220,220,2019,11,4,23,37.9,,,
C.DOMINADOR___220,220,2019,11,4,24,36.5,,,
C.DOMINADOR___220,220,2019,11,4,1,31.9,,,
C.DOMINADOR___220,220,2019,11,4,2,31.9,,,
C.DOMINADOR___220,220,2019,11,4,3,30.9,,,
C.DOMINADOR___220,220,2019,11,4,4,31,,,
C.DOMINADOR___220,220,2019,11,5,1,30.4,,,
C.DOMINADOR___220,220,2019,11,5,2,30.2,,,
C.DOMINADOR___220,220,2019,11,5,3,30.3,,,
C.DOMINADOR___220,220,2019,11,5,4,30.4,,,
