Time stamp,Field incident thermal power | (MWt),PC efficiency gross,PC electrical power output gross | (MWe),PC water consumption makeup + cooling | (kg/s),Total electric power to grid | (MWe),Parasitic power condenser operation | (MWe)
1/1/20 00:00,0,0.212294,58.3809,1.07429,56.0657,1.34526
1/1/20 01:00,0,0.424537,116.748,2.14858,113.095,2.68282
1/1/20 02:00,0,0.424457,116.726,2.14858,113.082,2.67318
1/1/20 03:00,0,0.424355,116.698,2.14857,113.062,2.66547
1/1/20 04:00,0,0.425126,115.257,2.11821,111.634,2.65777
1/1/20 05:00,0,0,0,0,-0.605,0
1/1/20 06:00,0,0,0,0,-0.605,0
1/1/20 07:00,905.159,0,0,0,-4.57867,0
1/1/20 08:00,1123.88,0.33113,91.0608,1.68883,81.4701,2.1239
1/1/20 09:00,1219.91,0.419484,115.358,2.14857,102.03,2.73487
1/1/20 10:00,1271.54,0.416745,114.605,2.14857,99.2822,2.76381
1/1/20 11:00,1300.37,0.413226,113.637,2.14857,97.0946,2.78889
1/1/20 12:00,1314.37,0.408837,112.43,2.14856,94.8223,2.81302
1/1/20 13:00,1316.66,0.404994,111.374,2.14859,92.7242,2.83136
1/1/20 14:00,1307.97,0.40206,110.566,2.14857,93.2229,2.84392
1/1/20 15:00,1286.14,0.400849,110.233,2.14857,94.0024,2.84875
1/1/20 16:00,1245.72,0.402016,110.554,2.14857,95.9265,2.84392
1/1/20 17:00,1171.89,0.404579,111.26,2.1486,99.4943,2.83329
1/1/20 18:00,1019.89,0.40703,111.933,2.14857,103.477,2.82171
1/1/20 19:00,0,0.411764,113.235,2.14858,109.26,2.79565
1/1/20 20:00,0,0.415516,114.267,2.14857,110.525,2.77056
1/1/20 21:00,0,0.417885,114.919,2.14858,111.198,2.74934
1/1/20 22:00,0,0.419302,115.308,2.14857,111.605,2.73198
1/1/20 23:00,0,0.42007,115.519,2.14857,111.828,2.71944
1/2/20 00:00,0,0.420662,115.682,2.14857,112.005,2.70498
1/2/20 01:00,0,0.420824,115.727,2.14857,112.056,2.6992
1/2/20 02:00,0,0.420978,115.769,2.14857,112.105,2.69245
1/2/20 03:00,0,0.423821,116.551,2.14857,112.89,2.6886
1/2/20 04:00,0,0.423778,116.539,2.14857,112.882,2.68475
1/2/20 05:00,0,0.423729,116.526,2.14857,112.871,2.68185
1/2/20 06:00,0,0.423671,116.51,2.14857,112.866,2.67029
1/2/20 07:00,907.813,0.420623,115.681,2.14875,108.137,2.70306
1/2/20 08:00,1127.98,0.419391,115.333,2.14857,105.124,2.7368
1/2/20 09:00,1224.25,0.415991,114.398,2.14857,101.015,2.76959
1/2/20 10:00,1275.76,0.411601,113.191,2.14859,97.829,2.79854
1/2/20 11:00,1304.36,0.406608,111.817,2.14856,95.2623,2.82364
1/2/20 12:00,1318.23,0.403679,111.012,2.14857,93.3999,2.83716
1/2/20 13:00,1319.44,0.398927,109.704,2.14856,90.9963,2.85647
1/2/20 14:00,1309.3,0.395383,108.731,2.14859,91.3148,2.86999
1/2/20 15:00,1286.02,0.394051,108.364,2.14857,92.0697,2.87483
1/2/20 16:00,1243.55,0.396118,108.932,2.14857,94.257,2.8671
1/2/20 17:00,1167.19,0.399928,109.98,2.14856,98.1788,2.85261
1/2/20 18:00,1011.32,0.402775,110.763,2.14857,102.304,2.84102
1/2/20 19:00,0,0.408631,112.373,2.14857,108.382,2.81206
1/2/20 20:00,0,0.41386,113.811,2.14857,110.058,2.78214
1/2/20 21:00,0,0.416768,114.611,2.14857,110.88,2.75995
1/2/20 22:00,0,0.418573,115.108,2.14857,111.396,2.74066
1/2/20 23:00,0,0.419707,115.419,2.14857,111.723,2.72523
1/3/20 00:00,0,0.420516,115.642,2.14857,111.963,2.70788
1/3/20 01:00,0,0.420795,115.719,2.14857,112.048,2.6992
1/3/20 02:00,0,0.423839,116.556,2.14857,112.894,2.68956
1/3/20 03:00,0,0.423809,116.548,2.14857,112.898,2.67704
1/3/20 04:00,0,0.423776,116.539,2.14857,112.9,2.66547
1/3/20 05:00,0,0.42374,116.529,2.14857,112.903,2.65295
1/3/20 06:00,0,0.423699,116.517,2.14857,112.895,2.6491
1/3/20 07:00,863.297,0.423811,116.562,2.14883,109.128,2.68089
1/3/20 08:00,1093.48,0.420813,115.724,2.14857,105.812,2.71366
1/3/20 09:00,1193.97,0.418684,115.138,2.14857,102.234,2.74452
1/3/20 10:00,1247.29,0.415619,114.295,2.14857,99.5113,2.77249
1/3/20 11:00,1276.61,0.412101,113.328,2.14858,97.4141,2.79565
1/3/20 12:00,1290.24,0.407015,111.929,2.14857,95.046,2.82171
1/3/20 13:00,1291.69,0.403003,110.826,2.14857,92.9515,2.84005
1/3/20 14:00,1281.19,0.399899,109.972,2.14857,93.3185,2.85261
1/3/20 15:00,1256.46,0.398405,109.561,2.14856,93.9899,2.8584
1/3/20 16:00,1211.82,0.399361,109.824,2.14856,96.0215,2.85454
1/3/20 17:00,1131.36,0.399782,115.226,2.25188,107.52,2.84488
1/3/20 18:00,968.374,0.40317,116.132,2.25052,108.297,2.82943
1/3/20 19:00,0,0.409712,112.671,2.14857,108.684,2.80626
1/3/20 20:00,0,0.413634,113.749,2.14857,109.995,2.7831
1/3/20 21:00,0,0.416458,114.526,2.14857,110.793,2.76188
1/3/20 22:00,0,0.418167,114.996,2.14857,111.28,2.74452
1/3/20 23:00,0,0.419225,115.287,2.14857,111.584,2.73101
1/4/20 00:00,0,0.420586,115.661,2.14857,111.985,2.70402
1/4/20 01:00,0,0.420751,115.707,2.14857,112.036,2.69824
1/4/20 02:00,0,0.420907,115.75,2.14857,112.086,2.69149
1/4/20 03:00,0,0.423743,116.529,2.14857,112.869,2.68764
1/4/20 04:00,0,0.423712,116.521,2.14857,112.864,2.68378
1/4/20 05:00,0,0.423677,116.511,2.14857,112.858,2.67993
1/4/20 06:00,0,0.423639,116.501,2.14857,112.84,2.68764
1/4/20 07:00,0,0.419631,115.399,2.14857,111.705,2.72041
1/4/20 08:00,1056.44,0.417519,114.818,2.14858,105.057,2.75416
1/4/20 09:00,1162.6,0.413651,113.754,2.14857,101.231,2.786
1/4/20 10:00,400.162,0.408328,112.375,2.15019,105.128,2.81399
1/4/20 11:00,1250.31,0.403674,111.01,2.14857,95.582,2.83716
1/4/20 12:00,1264.91,0.398903,109.698,2.14856,93.518,2.85647
1/4/20 13:00,1266.84,0.394049,108.363,2.14857,91.2785,2.87483
1/4/20 14:00,1256.34,0.390066,107.267,2.14855,91.3471,2.88835
1/4/20 15:00,1231.13,0.389245,107.041,2.14855,92.1507,2.89125
1/4/20 16:00,1184.68,0.391506,107.66,2.1485,94.2131,2.88352
1/4/20 17:00,0,0.39543,108.743,2.14857,104.694,2.86806
1/4/20 18:00,0,0.399646,109.902,2.14857,106.079,2.85164
1/4/20 19:00,0,0.406076,111.671,2.14857,107.875,2.82364
1/4/20 20:00,0,0.411688,113.214,2.14857,109.448,2.79468
1/4/20 21:00,0,0.415141,114.164,2.14857,110.421,2.77152
1/4/20 22:00,0,0.417453,114.8,2.14858,111.077,2.75127
1/4/20 23:00,0,0.418823,115.176,2.14857,111.469,2.73487
1/5/20 00:00,0,0.419545,115.375,2.14857,111.678,2.72427
1/5/20 01:00,0,0.419904,115.474,2.14857,111.785,2.71655
1/5/20 02:00,0,0.420233,115.564,2.14857,111.884,2.70788
1/5/20 03:00,0,0.420517,115.642,2.14857,111.971,2.69824
1/5/20 04:00,0,0.423525,116.469,2.14857,112.808,2.68764
1/5/20 05:00,0,0.423455,116.45,2.14857,112.798,2.678
1/5/20 06:00,0,0.423366,116.426,2.14857,112.791,2.66066
1/5/20 07:00,0,0.420833,114.804,2.1314,111.14,2.69245
1/5/20 08:00,1026.52,0.0547885,15.0668,0.280186,8.043,0.355511
1/5/20 09:00,1139.2,0.417403,114.786,2.14857,102.611,2.75802
1/5/20 10:00,1199.4,0.413515,113.716,2.14857,99.7621,2.78696
1/5/20 11:00,1232.7,0.409408,112.587,2.14857,97.5616,2.81012
1/5/20 12:00,426.943,0.405211,111.515,2.15014,104.128,2.82943
1/5/20 13:00,0,0.400221,110.06,2.14857,106.03,2.84875
1/5/20 14:00,174.445,0.396468,109.028,2.14857,103.531,2.86323
1/5/20 15:00,229.577,0.395382,108.73,2.14856,102.945,2.8671
1/5/20 16:00,35.3864,0.397029,109.183,2.14857,104.863,2.86033
1/5/20 17:00,0,0.28888,20.8125,0.56289,17.2687,2.84681
1/5/20 18:00,0,0,0,0,-0.605,0
1/5/20 19:00,0,0,0,0,-0.605,0
1/5/20 20:00,0,0,0,0,-0.605,0
1/5/20 21:00,0,0,0,0,-0.605,0
1/5/20 22:00,0,0,0,0,-0.605,0
1/5/20 23:00,0,0,0,0,-0.605,0
1/6/20 00:00,0,0,0,0,-0.605,0
1/6/20 01:00,0,0,0,0,-0.605,0
1/6/20 02:00,0,0,0,0,-0.605,0
1/6/20 03:00,0,0,0,0,-0.605,0
1/6/20 04:00,0,0,0,0,-0.605,0
1/6/20 05:00,0,0,0,0,-0.605,0
1/6/20 06:00,0,0,0,0,-0.605,0
1/6/20 07:00,0,0,0,0,-0.605,0
1/6/20 08:00,0,0,0,0,-0.605,0
1/6/20 09:00,250.327,0,0,0,-3.01573,0
1/6/20 10:00,1216.53,0.169413,46.5886,0.885814,34.0161,1.15537
1/6/20 11:00,1249.83,0.406204,111.706,2.14856,96.3558,2.82557
1/6/20 12:00,1266.35,0.403218,110.885,2.14857,94.6531,2.83909
1/6/20 13:00,1270.46,0.398171,109.497,2.14856,92.1995,2.85937
1/6/20 14:00,1262.25,0.394591,108.515,2.14862,92.3456,2.87289
1/6/20 15:00,418.016,0.392616,108.039,2.14996,100.671,2.87869
1/6/20 16:00,321.022,0.394372,108.458,2.14868,101.758,2.87193
1/6/20 17:00,0,0.397427,109.292,2.14857,105.251,2.8584
1/6/20 18:00,0,0.401007,110.277,2.14857,106.459,2.84392
1/6/20 19:00,0,0.407076,111.945,2.14856,108.156,2.81592
1/6/20 20:00,0,0.41214,113.338,2.14857,109.577,2.78793
1/6/20 21:00,0,0.415304,114.209,2.14857,110.47,2.76477
1/6/20 22:00,0,0.417301,114.758,2.14857,111.038,2.74452
1/6/20 23:00,0,0.418462,115.077,2.14857,111.374,2.72812
1/7/20 00:00,0,0.0288885,1.59189,0.0505053,0.899255,0.0793864
1/7/20 01:00,0,0,0,0,-0.605,0
1/7/20 02:00,0,0,0,0,-0.605,0
1/7/20 03:00,0,0,0,0,-0.605,0
1/7/20 04:00,0,0,0,0,-0.605,0
1/7/20 05:00,0,0,0,0,-0.605,0
1/7/20 06:00,0,0,0,0,-0.605,0
1/7/20 07:00,842.788,0,0,0,-4.38112,0
1/7/20 08:00,1086.84,0.289678,79.6616,1.48034,70.7165,1.875
1/7/20 09:00,1193.37,0.417887,114.919,2.14858,102.096,2.7532
1/7/20 10:00,1250.07,0.414411,113.963,2.14857,99.1821,2.78117
1/7/20 11:00,1282.28,0.410369,112.852,2.14857,96.867,2.8053
1/7/20 12:00,1298.32,0.406408,111.762,2.14856,94.8324,2.8246
1/7/20 13:00,1300.74,0.402295,110.631,2.14857,92.5802,2.84295
1/7/20 14:00,1291.45,0.3989,109.697,2.14856,92.977,2.85647
1/7/20 15:00,1268.77,0.397629,109.348,2.14856,93.693,2.8613
1/7/20 16:00,1226.54,0.399101,109.752,2.14856,95.5837,2.85551
1/7/20 17:00,1149.82,0.402297,110.631,2.14857,99.0999,2.84295
1/7/20 18:00,993.467,0.406619,111.82,2.14856,103.417,2.82364
1/7/20 19:00,0,0.411333,113.117,2.14858,109.14,2.79661
1/7/20 20:00,0,0.415245,114.192,2.14857,110.45,2.77056
1/7/20 21:00,0,0.417614,114.844,2.14858,111.123,2.74934
1/7/20 22:00,0,0.419171,115.272,2.14857,111.57,2.73005
1/7/20 23:00,0,0.41994,115.483,2.14857,111.795,2.71655
1/8/20 00:00,0,0.420648,115.678,2.14857,112.009,2.69727
1/8/20 01:00,0,0.423645,116.502,2.14857,112.839,2.69053
1/8/20 02:00,0,0.423609,116.493,2.14857,112.836,2.68282
1/8/20 03:00,0,0.423569,116.482,2.14857,112.833,2.67511
1/8/20 04:00,0,0.423524,116.469,2.14857,112.828,2.6674
1/8/20 05:00,0,0.423471,116.455,2.14857,112.821,2.65969
1/8/20 06:00,0,0.423408,116.437,2.14857,112.808,2.65488
1/8/20 07:00,832.896,0.423489,116.473,2.14882,109.126,2.68475
1/8/20 08:00,1080.33,0.420717,115.697,2.14857,105.978,2.71559
1/8/20 09:00,1187.46,0.418338,115.043,2.14858,102.296,2.74837
1/8/20 10:00,1244.28,0.414688,114.039,2.14857,99.3392,2.77924
