Time stamp,Field incident thermal power | (MWt),PC efficiency gross,PC electrical power output gross | (MWe),PC water consumption makeup + cooling | (kg/s),Total electric power to grid | (MWe),Parasitic power condenser operation | (MWe)
1/1/20 00:00,0,0.212323,58.3758,38.49,57.1457,0.260398
1/1/20 01:00,0,0.425059,116.874,76.9358,115.385,0.519829
1/1/20 02:00,0,0.425649,117.053,76.8749,115.565,0.518477
1/1/20 03:00,0,0.426124,117.184,76.8171,115.696,0.517319
1/1/20 04:00,0,0.427519,116.332,75.8963,114.849,0.516087
1/1/20 05:00,0,0,0,0,-0.605,0
1/1/20 06:00,0,0,0,0,-0.605,0
1/1/20 07:00,905.159,0,0,0,-4.57867,0
1/1/20 08:00,1123.88,0.333532,91.7007,60.5392,83.8217,0.410169
1/1/20 09:00,1219.91,0.428693,117.89,78.2145,106.574,0.700706
1/1/20 10:00,1271.54,0.428139,117.738,78.282,104.449,0.705204
1/1/20 11:00,1300.37,0.427636,117.6,78.3446,103.112,0.709283
1/1/20 12:00,1314.37,0.427902,117.673,78.3083,102.132,0.711231
1/1/20 13:00,1316.66,0.427599,117.59,78.3454,100.986,0.714051
1/1/20 14:00,1307.97,0.427236,117.474,78.3794,102.217,0.716059
1/1/20 15:00,1286.14,0.426998,117.409,78.4085,103.282,0.716939
1/1/20 16:00,1245.72,0.426929,117.39,78.4167,104.865,0.716474
1/1/20 17:00,1171.89,0.42696,117.399,78.413,107.734,0.71536
1/1/20 18:00,1019.89,0.428608,117.867,79.9353,111.327,0.894976
1/1/20 19:00,0,0.428825,117.927,79.9075,115.856,0.889697
1/1/20 20:00,0,0.42679,117.351,78.4341,115.671,0.708239
1/1/20 21:00,0,0.42725,117.494,78.3871,115.817,0.705077
1/1/20 22:00,0,0.427389,117.532,78.3695,115.857,0.702762
1/1/20 23:00,0,0.427269,117.499,78.3845,115.826,0.701641
1/2/20 00:00,0,0.428528,117.845,78.2296,116.176,0.696965
1/2/20 01:00,0,0.428566,117.855,78.2253,116.187,0.696192
1/2/20 02:00,0,0.428651,117.879,78.2152,116.211,0.695205
1/2/20 03:00,0,0.423268,116.387,77.1527,114.894,0.521053
1/2/20 04:00,0,0.423706,116.491,77.0896,114.998,0.520409
1/2/20 05:00,0,0.424082,116.61,77.0543,115.118,0.519862
1/2/20 06:00,0,0.42556,117.028,76.8842,115.538,0.517612
1/2/20 07:00,907.813,0.424085,116.607,77.0532,111.244,0.52167
1/2/20 08:00,1127.98,0.428916,117.952,78.1859,109.76,0.700538
1/2/20 09:00,1224.25,0.428176,117.748,78.2755,106.406,0.705695
1/2/20 10:00,1275.76,0.427614,117.594,78.3459,104.293,0.710366
1/2/20 11:00,1304.36,0.426686,117.324,78.4501,102.825,0.714689
1/2/20 12:00,1318.23,0.426664,117.318,78.4506,101.823,0.716206
1/2/20 13:00,1319.44,0.428874,117.94,79.9019,101.14,0.898838
1/2/20 14:00,1309.3,0.428479,117.831,79.9504,102.356,0.90194
1/2/20 15:00,1286.02,0.428375,117.803,79.9632,103.462,0.902901
1/2/20 16:00,1243.55,0.428439,117.82,79.9547,105.091,0.901565
1/2/20 17:00,1167.19,0.428623,117.871,79.9322,108.007,0.899184
1/2/20 18:00,1011.32,0.428833,117.929,81.6231,111.225,1.08169
1/2/20 19:00,0,0.427804,117.646,80.0339,115.57,0.895068
1/2/20 20:00,0,0.428487,117.834,79.9491,115.973,0.888758
1/2/20 21:00,0,0.42636,117.234,78.486,115.554,0.707641
1/2/20 22:00,0,0.426813,117.36,78.4317,115.683,0.704804
1/2/20 23:00,0,0.426947,117.41,78.4235,115.735,0.702863
1/3/20 00:00,0,0.428425,117.817,78.2426,116.147,0.697437
1/3/20 01:00,0,0.428659,117.881,78.2151,116.212,0.695937
1/3/20 02:00,0,0.423639,116.473,77.0988,114.98,0.520893
1/3/20 03:00,0,0.424636,116.774,76.9951,115.283,0.519122
1/3/20 04:00,0,0.425482,117.007,76.8931,115.517,0.517384
1/3/20 05:00,0,0.426385,117.256,76.784,115.767,0.515487
1/3/20 06:00,0,0.42742,117.54,76.6574,116.053,0.513822
1/3/20 07:00,863.297,0.426726,117.345,76.7392,112.075,0.517523
1/3/20 08:00,1093.48,0.426298,117.231,76.7928,109.505,0.52113
1/3/20 09:00,1193.97,0.42512,116.907,76.9351,106.207,0.524676
1/3/20 10:00,1247.29,0.423768,116.534,77.0977,103.971,0.527933
1/3/20 11:00,1276.61,0.428721,117.898,78.206,104.045,0.707298
1/3/20 12:00,1290.24,0.427756,117.633,78.3246,102.84,0.712548
1/3/20 13:00,1291.69,0.427373,117.527,78.3709,101.733,0.715418
1/3/20 14:00,1281.19,0.426868,117.374,78.4234,102.825,0.717579
1/3/20 15:00,1256.46,0.426676,117.321,78.4463,103.868,0.718488
1/3/20 16:00,1211.82,0.426564,117.314,78.474,105.68,0.718158
1/3/20 17:00,1131.36,0.42557,122.444,83.6171,116.687,0.896232
1/3/20 18:00,968.374,0.424759,122.142,83.6829,116.24,0.897049
1/3/20 19:00,0,0.428477,117.831,79.9494,115.758,0.891921
1/3/20 20:00,0,0.426361,117.234,78.4851,115.552,0.710087
1/3/20 21:00,0,0.426812,117.371,78.4392,115.692,0.707031
1/3/20 22:00,0,0.426959,117.413,78.4234,115.736,0.704874
1/3/20 23:00,0,0.426834,117.379,78.4401,115.703,0.703565
1/4/20 00:00,0,0.428247,117.768,78.2662,116.098,0.697262
1/4/20 01:00,0,0.428371,117.802,78.2523,116.132,0.696319
1/4/20 02:00,0,0.428543,117.849,78.2322,116.181,0.695161
1/4/20 03:00,0,0.42735,117.586,76.7066,116.092,0.521143
1/4/20 04:00,0,0.423296,116.379,77.1442,114.886,0.52057
1/4/20 05:00,0,0.42364,116.472,77.1016,114.979,0.51999
1/4/20 06:00,0,0.425315,116.961,76.9155,115.469,0.519225
1/4/20 07:00,0,0.4241,116.627,77.0623,115.131,0.522899
1/4/20 08:00,1056.44,0.423728,116.499,77.0912,108.962,0.526286
1/4/20 09:00,1162.6,0.428768,117.911,78.2047,107.447,0.706094
1/4/20 10:00,400.162,0.428023,117.754,78.3245,112.608,0.710308
1/4/20 11:00,1250.31,0.427691,117.615,78.3379,104.272,0.714387
1/4/20 12:00,1264.91,0.428656,117.88,79.9336,103.616,0.899473
1/4/20 13:00,1266.84,0.428374,117.802,79.9679,102.66,0.902901
1/4/20 14:00,1256.34,0.428045,117.712,80.0079,103.759,0.905741
1/4/20 15:00,1231.13,0.427958,117.679,80.0131,104.765,0.906366
1/4/20 16:00,1184.68,0.428089,117.715,79.997,106.235,0.905157
1/4/20 17:00,0,0.427699,117.617,80.0493,115.533,0.902739
1/4/20 18:00,0,0.427949,117.686,80.0205,115.814,0.89965
1/4/20 19:00,0,0.427844,117.719,78.3569,116.031,0.714894
1/4/20 20:00,0,0.42695,117.411,78.4278,115.728,0.710299
1/4/20 21:00,0,0.427141,117.464,78.4051,115.784,0.707281
1/4/20 22:00,0,0.42717,117.472,78.4025,115.794,0.704928
1/4/20 23:00,0,0.427132,117.461,78.408,115.785,0.703165
1/5/20 00:00,0,0.427184,117.476,78.4001,115.801,0.701791
1/5/20 01:00,0,0.427361,117.524,78.3782,115.85,0.7004
1/5/20 02:00,0,0.427624,117.596,78.3453,115.924,0.698659
1/5/20 03:00,0,0.427973,117.692,78.3033,116.022,0.696744
1/5/20 04:00,0,0.427349,117.582,78.4193,115.914,0.694563
1/5/20 05:00,0,0.423727,116.512,77.1022,115.018,0.519604
1/5/20 06:00,0,0.426475,117.28,76.7788,115.79,0.515685
1/5/20 07:00,0,0.427329,114.058,74.5706,112.575,0.519487
1/5/20 08:00,1026.52,0.0554011,15.2327,10.0367,8.49403,0.0682561
1/5/20 09:00,1139.2,0.429075,117.995,78.1708,107.858,0.702354
1/5/20 10:00,1199.4,0.428574,117.857,78.23,105.96,0.706649
1/5/20 11:00,1232.7,0.428117,117.732,78.2847,104.783,0.710299
1/5/20 12:00,426.943,0.427123,117.522,78.4447,112.248,0.714356
1/5/20 13:00,0,0.426188,117.186,78.5088,115.287,0.71725
1/5/20 14:00,174.445,0.428377,117.803,79.9621,114.269,0.899245
1/5/20 15:00,229.577,0.428179,117.749,79.987,113.93,0.90017
1/5/20 16:00,35.3864,0.428036,117.709,80.0053,115.35,0.899381
1/5/20 17:00,0,0.135286,9.53568,29.1158,8.66107,0.179666
1/5/20 18:00,0,0,0,0,-0.605,0
1/5/20 19:00,0,0,0,0,-0.605,0
1/5/20 20:00,0,0,0,0,-0.605,0
1/5/20 21:00,0,0,0,0,-0.605,0
1/5/20 22:00,0,0,0,0,-0.605,0
1/5/20 23:00,0,0,0,0,-0.605,0
1/6/20 00:00,0,0,0,0,-0.605,0
