Hours since 00:00 Jan 1,CERRO_DOMINADOR_SAM.csv: Beam irradiance - DNI (W/m2),CERRO_DOMINADOR_SAM.csv: Dry bulb temp (C),CERRO_DOMINADOR_SAM.csv: Wet bulb temp (C)
0.5,0,11.2,7.68437
1.5,0,10.4,7.275
2.5,0,9.4,6.5875
3.5,0,8.6,5.94375
4.5,0,7.8,5.22188
5.5,0,7,4.5
6.5,0,5.8,4.08125
7.5,750.3,9.1,6.05313
8.5,931.6,12.4,7.79062
9.5,1011.2,15.8,9.31563
10.5,1054,18.8,10.4406
11.5,1077.9,21.4,11.4391
12.5,1089.5,23.9,10.9312
13.5,1091.4,25.8,11.5422
14.5,1084.2,27.1,12.0219
15.5,1066.1,27.6,12.2875
16.5,1032.6,27.1,12.3344
17.5,971.4,26,12.3672
18.5,845.4,24.8,13.9406
19.5,457,22.1,12.8813
20.5,0,19.5,12.1563
21.5,0,17.3,11.5187
22.5,0,15.5,11.2031
23.5,0,14.2,11.3875
24.5,0,12.7,8.87187
25.5,0,12.1,8.74063
26.5,0,11.4,8.50937
27.5,0,11,8.1875
28.5,0,10.6,7.7875
29.5,0,10.3,7.40938
30.5,0,9.1,5.81875
31.5,752.5,12.5,7.5
32.5,935,16,8.96875
33.5,1014.8,19.4,10.3375
34.5,1057.5,22.4,11.4625
35.5,1081.2,25,12.6563
36.5,1092.7,26.4,12.6891
37.5,1093.7,28.4,13.4
38.5,1085.3,29.8,14.175
39.5,1066,30.3,14.3625
40.5,1030.8,29.5,14.1875
41.5,967.5,28,13.9375
42.5,838.3,26.8,16.4094
43.5,447,23.8,14.8156
44.5,0,20.7,13.4344
45.5,0,18.4,12.5797
46.5,0,16.4,12.025
47.5,0,14.8,11.8313
48.5,0,13,9.01563
49.5,0,12.1,8.50625
50.5,0,11.1,7.89688
51.5,0,9.8,6.9875
52.5,0,8.6,6.02188
53.5,0,7.3,4.95625
54.5,0,6.9,3.30625
55.5,715.6,10.2,4.65312
56.5,906.4,13.6,5.7875
57.5,989.7,16.8,7.03437
58.5,1033.9,19.7,8.21563
59.5,1058.2,22.1,9.2875
60.5,1069.5,24.8,11.2062
61.5,1070.7,26.7,11.8563
62.5,1062,28,12.4531
63.5,1041.5,28.6,12.6625
64.5,1004.5,28.2,12.7313
65.5,937.8,27.2,12.7469
66.5,802.7,25.6,14.5453
67.5,406.4,23.2,13.3563
68.5,0,20.8,12.5187
69.5,0,18.6,11.9594
70.5,0,16.8,11.7609
71.5,0,15.4,11.8844
72.5,0,12.6,9.24063
73.5,0,12,8.95313
74.5,0,11.3,8.56563
75.5,0,10.9,8.4
76.5,0,10.5,8.07813
77.5,0,10.1,7.75625
78.5,0,10.9,6.05625
79.5,0,14.3,7.26875
80.5,875.7,17.8,8.03437
81.5,963.7,21.1,9.14688
82.5,331.7,24,10.1719
83.5,1036.4,26.4,11.3219
84.5,1048.5,28.4,13.7906
85.5,1050.1,30.3,14.3625
86.5,1041.4,31.7,14.9813
87.5,1020.5,32,15.125
88.5,982,31.2,15.0281
89.5,146.8,29.6,14.8344
90.5,17.7,27.9,14.3062
91.5,374.6,25,12.8125
92.5,0,22,11.7266
93.5,0,19.6,11.3578
94.5,0,17.5,11.25
95.5,0,15.8,11.2688
96.5,0,14.7,11.1062
97.5,0,13.9,10.6969
98.5,0,13,10.1094
99.5,0,12,9.34375
100.5,0,10.9,8.4
101.5,0,9.9,7.47812
102.5,0,8.1,4.42813
103.5,0,11.4,5.93125
104.5,850.9,14.9,7.32187
105.5,944.3,18.2,8.5125
106.5,994.2,21.2,9.55938
107.5,1021.8,23.6,10.475
108.5,353.9,25.6,11.9281
109.5,211.8,27.6,12.5219
110.5,144.6,29.1,13.0844
111.5,190.3,29.5,13.3281
112.5,179.3,28.8,13.4094
113.5,105.1,27.4,13.3375
114.5,9.9,26.2,13.3094
115.5,90.6,23.5,12.25
116.5,0,20.7,11.4031
117.5,0,18.4,10.8219
118.5,0,16.3,10.3625
119.5,0,14.8,10.3469
120.5,0,13.8,9.89375
121.5,0,13.4,9.65
122.5,0,12.8,9.20625
123.5,0,12.1,8.74063
124.5,0,11.5,8.29688
125.5,0,10.8,7.75313
126.5,0,9.5,5.90625
127.5,0,13.1,7.475
128.5,76.8,16.8,8.675
129.5,207.5,20,10.2344
130.5,1008.4,22.8,11.6281
131.5,1036,25.2,13.2469
132.5,1049.7,26.6,13.0844
133.5,1053.1,28.7,13.7781
134.5,1046.3,30.1,14.3188
135.5,346.5,30.7,14.6063
136.5,266.1,30,14.5313
137.5,139.1,28.6,14.3813
138.5,21.2,27.1,14.7563
139.5,406.5,24.2,13.4188
140.5,0,21.3,12.3937
141.5,0,18.9,11.8687
142.5,0,16.8,11.5656
143.5,0,15.1,11.5063
144.5,0,12.9,9.69687
145.5,0,12.1,9.13125
146.5,0,11.1,8.36563
147.5,0,10.3,7.8
148.5,0,9.4,7.05625
149.5,0,8.5,6.23438
150.5,0,7.7,5.35625
151.5,698.6,11,7.25
152.5,900.9,14.4,9.00937
153.5,989.2,17.7,10.3563
154.5,1036.2,20.6,11.3813
155.5,1062.9,23.1,12.3188
156.5,1076.2,25.1,12.0531
157.5,1078.2,27,12.625
158.5,1070.5,28.4,13.0875
159.5,1051.7,28.9,13.3922
160.5,1016.7,28.3,13.4562
161.5,953.1,27,13.3281
162.5,823.5,25,14.4531
163.5,438.9,22.2,13.2156
164.5,0,19.5,12.3125
165.5,0,17.3,11.675
