"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 1, 12:00 am",266.99,0.219011,58.4738,36.5824,573.931,290.519,290,0,0
"Jan 1, 01:00 am",266.99,0.438981,117.203,73.0524,573.681,290.959,290,0,0
"Jan 1, 02:00 am",223.157,0.427972,95.505,61.293,573.312,290.098,290,0,0
"Jan 1, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 07:00 am",122.526,0,0,0,573.737,290,290,420.069,0.428302
"Jan 1, 08:00 am",266.99,0.419825,112.089,70.1831,573.244,291.052,290.511,573.244,0.959935
"Jan 1, 09:00 am",266.899,0.435221,116.16,73.4713,573.34,291.332,290.505,573.34,0.966345
"Jan 1, 10:00 am",266.99,0.44495,118.797,74.0213,573.325,290.421,290.35,573.325,0.96752
"Jan 1, 11:00 am",266.99,0.443547,118.422,74.1862,573.308,290.554,290.093,573.308,0.967396
"Jan 1, 12:00 pm",266.99,0.44213,118.044,74.3529,573.303,290.687,290.102,573.303,0.966882
"Jan 1, 01:00 pm",266.99,0.441427,117.856,74.4356,573.264,290.755,290.068,573.264,0.966229
"Jan 1, 02:00 pm",278.157,0.438839,122.066,77.5868,573.258,291.46,290.758,573.258,0.94915
"Jan 1, 03:00 pm",278.323,0.43841,122.02,77.6817,573.459,291.494,291.469,573.459,0.912253
"Jan 1, 04:00 pm",278.906,0.445093,124.139,78.6827,573.448,290.893,290.838,573.448,0.906642
"Jan 1, 05:00 pm",278.852,0.444515,123.954,78.7412,573.445,290.945,290.893,573.445,0.899481
"Jan 1, 06:00 pm",278.592,0.444682,123.885,78.6541,573.176,290.936,290.876,573.176,0.902926
"Jan 1, 07:00 pm",266.994,0.439587,117.367,74.6536,572.388,290.984,290,0,0
"Jan 1, 08:00 pm",266.99,0.440889,117.713,74.4989,572.329,290.865,290,0,0
"Jan 1, 09:00 pm",266.99,0.442289,118.087,74.3324,572.263,290.739,290,0,0
"Jan 1, 10:00 pm",266.99,0.443612,118.44,74.1748,572.188,290.62,290,0,0
"Jan 1, 11:00 pm",266.99,0.444589,118.701,74.0593,572.102,290.534,290,0,0
