"tshours (hours)","solarm","N_hel","cost_installedperwatt ($/W)","cost_installed ($)","lcoe_nom (cents/kWh)","lcoe_real (cents/kWh)","capacity_factor (%)"
0,1.7,1128,4.94629,8.61273e+07,12.8773,10.0542,37.5689
1,1.7,1128,5.04236,8.78e+07,11.8604,9.26025,41.6396
2,1.7,1128,5.13861,8.9476e+07,11.0173,8.60195,45.7445
3,1.7,1128,5.23394,9.1136e+07,10.3441,8.07636,49.6816
4,1.7,1128,5.32671,9.27514e+07,9.84696,7.6882,53.1457
5,1.7,1128,5.41194,9.42353e+07,9.61992,7.51094,55.2196
6,1.7,1128,5.48885,9.55747e+07,9.6372,7.52443,55.7642
7,1.7,1128,5.56257,9.68582e+07,9.74479,7.60843,55.7185
8,1.7,1128,5.63628,9.81417e+07,9.85257,7.69258,55.6727
9,1.7,1128,5.71001,9.94256e+07,9.95992,7.7764,55.6306
10,1.7,1128,5.78376,1.0071e+08,10.0669,7.85995,55.5917
11,1.7,1128,5.85751,1.01994e+08,10.174,7.94358,55.5532
12,1.7,1128,5.93127,1.03278e+08,10.2811,8.02714,55.516
13,1.7,1128,6.00501,1.04562e+08,10.3889,8.1113,55.4751
14,1.7,1128,6.0788,1.05847e+08,10.4954,8.19451,55.4423
15,1.7,1128,6.15258,1.07132e+08,10.6022,8.27785,55.4093
0,1.8,1188,5.01392,8.73049e+07,12.9123,10.0815,37.8804
1,1.8,1188,5.1105,8.89866e+07,11.8752,9.27177,42.0462
2,1.8,1188,5.20692,9.06655e+07,11.0313,8.61288,46.183
3,1.8,1188,5.30271,9.23335e+07,10.3476,8.07909,50.203
4,1.8,1188,5.3978,9.39891e+07,9.78605,7.64064,54.0935
5,1.8,1188,5.48837,9.55662e+07,9.4191,7.35414,57.1529
6,1.8,1188,5.5715,9.70137e+07,9.27567,7.24215,58.841
7,1.8,1188,5.64761,9.83389e+07,9.31568,7.27339,59.2365
8,1.8,1188,5.72132,9.96224e+07,9.41677,7.35232,59.1903
9,1.8,1188,5.79504,1.00906e+08,9.51766,7.43109,59.1467
10,1.8,1188,5.86878,1.0219e+08,9.61816,7.50956,59.1068
11,1.8,1188,5.94253,1.03474e+08,9.71864,7.58802,59.0679
12,1.8,1188,6.01629,1.04759e+08,9.81904,7.6664,59.0306
