Hours since 00:00 Jan 1,ESP_Sevilla_SWEC.epw: Beam irradiance - DNI (W/m2)
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,0
9.5,126
10.5,283
11.5,545
12.5,750
13.5,810
14.5,709
15.5,485
16.5,302
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.5,347
34.5,258
35.5,280
36.5,331
37.5,432
38.5,564
39.5,463
40.5,252
41.5,126
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,0
57.5,53
58.5,94
59.5,154
60.5,151
61.5,312
62.5,302
63.5,116
64.5,78
65.5,44
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,0
78.5,0
79.5,0
80.5,0
81.5,375
82.5,555
83.5,687
84.5,782
85.5,813
86.5,779
87.5,681
88.5,545
89.5,359
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,0
104.5,0
105.5,369
106.5,555
107.5,690
108.5,785
109.5,817
110.5,782
111.5,684
112.5,548
113.5,359
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,0
129.5,473
130.5,656
131.5,735
132.5,779
133.5,794
134.5,779
135.5,735
136.5,653
137.5,463
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,0
153.5,482
154.5,533
155.5,618
156.5,760
157.5,804
158.5,763
159.5,716
160.5,665
161.5,476
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,0
177.5,233
178.5,318
179.5,479
180.5,555
181.5,552
182.5,451
183.5,324
184.5,384
185.5,473
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,0
201.5,176
202.5,271
203.5,271
204.5,340
205.5,388
206.5,296
207.5,359
208.5,340
209.5,141
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,0
225.5,523
226.5,656
227.5,738
228.5,782
229.5,798
230.5,785
231.5,738
232.5,659
233.5,529
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,324
250.5,397
251.5,391
252.5,413
253.5,429
254.5,429
255.5,337
256.5,214
257.5,350
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,523
