Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,CSP_loc,NA,Chile,-22.9000,-69.3000,-4,1649
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,0.0,0.0,0.0,11.6,11.6,51.5,834.3,2.5,1.8,0
2014,1,1,1,0,0.0,0.0,0.0,10.7,10.7,53.0,834.4,2.7,6.5,0
2014,1,1,2,0,0.0,0.0,0.0,9.7,9.7,55.6,834.5,2.9,11.5,0
2014,1,1,3,0,0.0,0.0,0.0,8.7,8.7,55.6,834.5,3.1,18.9,0
2014,1,1,4,0,0.0,0.0,0.0,7.6,7.6,56.6,834.4,3.2,32.6,0
2014,1,1,5,0,0.0,0.0,0.0,6.7,6.7,58.4,834.2,3.4,66.3,0
2014,1,1,6,0,0.7,0.0,0.7,5.5,5.5,61.6,835.0,3.6,33.8,0
2014,1,1,7,0,200.2,764.7,29.6,9.3,9.3,51.6,834.9,2.2,27.5,0
2014,1,1,8,0,450.7,941.8,37.0,13.0,13.0,42.2,834.6,1.2,8.5,0
2014,1,1,9,0,689.3,1019.8,40.8,16.4,16.4,34.5,834.4,1.6,336.3,0
2014,1,1,10,0,891.9,1061.5,43.0,19.3,19.3,28.6,834.1,2.5,309.3,0
2014,1,1,11,0,1041.5,1084.7,44.4,21.6,21.6,25.0,833.7,3.4,294.6,0
2014,1,1,12,0,1126.3,1096.1,44.9,23.4,23.4,23.1,832.9,4.2,252.5,0
2014,1,1,13,0,1139.7,1097.9,45.1,25.1,25.1,19.7,832.5,4.8,247.4,0
2014,1,1,14,0,1080.7,1090.6,44.6,26.3,26.3,19.0,832.2,5.8,239.1,0
2014,1,1,15,0,953.7,1072.8,43.4,26.8,26.8,18.9,832.0,6.9,234.9,0
2014,1,1,16,0,768.6,1039.6,41.4,26.3,26.3,21.5,831.9,8.2,229.7,0
2014,1,1,17,0,540.7,978.7,38.2,25.2,25.2,26.7,831.9,9.8,224.9,0
2014,1,1,18,0,290.8,853.4,32.6,23.6,23.6,31.8,831.6,9.1,220.8,0
2014,1,1,19,0,55.6,461.3,18.0,21.0,21.0,40.3,831.9,6.6,221.1,0
2014,1,1,20,0,0.0,0.0,0.0,18.5,18.5,48.3,832.3,4.0,221.2,0
2014,1,1,21,0,0.0,0.0,0.0,16.5,16.5,54.1,832.3,1.4,223.5,0
2014,1,1,22,0,0.0,0.0,0.0,14.9,14.9,58.5,832.3,1.5,233.1,0
2014,1,1,23,0,0.0,0.0,0.0,13.8,13.8,61.2,832.3,3.5,27.4,0
2014,1,2,0,0,0.0,0.0,0.0,12.5,12.5,45.7,832.7,2.7,4.5,0
2014,1,2,1,0,0.0,0.0,0.0,11.9,11.9,48.2,832.8,2.8,9.0,0
2014,1,2,2,0,0.0,0.0,0.0,11.1,11.1,51.8,832.9,3.0,13.9,0
2014,1,2,3,0,0.0,0.0,0.0,10.5,10.5,52.8,833.1,3.2,20.2,0
2014,1,2,4,0,0.0,0.0,0.0,9.8,9.8,54.6,833.2,3.3,30.6,0
2014,1,2,5,0,0.0,0.0,0.0,9.2,9.2,57.3,833.3,3.4,52.4,0
2014,1,2,6,0,0.0,0.0,0.0,8.9,8.9,54.6,833.9,3.5,48.0,0
2014,1,2,7,0,199.0,767.3,29.5,12.9,12.9,44.6,833.9,2.1,41.0,0
2014,1,2,8,0,450.5,945.2,37.1,16.8,16.8,35.5,833.8,1.0,7.1,0
2014,1,2,9,0,690.4,1023.4,41.2,20.2,20.2,29.7,833.5,1.6,320.6,0
2014,1,2,10,0,894.3,1065.1,43.9,23.2,23.2,25.8,833.1,2.7,302.5,0
2014,1,2,11,0,1045.1,1088.3,45.6,25.5,25.5,24.2,832.5,3.6,294.6,0
2014,1,2,12,0,1130.9,1099.5,46.5,26.0,26.0,23.4,831.9,4.0,306.5,0
2014,1,2,13,0,1144.0,1100.2,46.9,27.8,27.8,20.1,831.4,4.2,296.5,0
2014,1,2,14,0,1084.4,1091.8,46.6,29.2,29.2,19.5,831.0,4.5,279.8,0
2014,1,2,15,0,956.5,1072.6,45.5,29.7,29.7,19.4,830.9,5.2,264.8,0
2014,1,2,16,0,770.4,1037.6,43.4,28.8,28.8,22.0,830.9,6.3,250.2,0
2014,1,2,17,0,541.5,974.6,40.0,27.3,27.3,27.3,831.0,7.9,238.3,0
2014,1,2,18,0,290.9,846.0,34.0,25.5,25.5,32.0,830.8,9.2,221.2,0
2014,1,2,19,0,55.8,451.1,18.6,22.5,22.5,40.3,831.2,6.8,221.3,0
2014,1,2,20,0,0.0,0.0,0.0,19.5,19.5,47.9,831.5,4.4,221.2,0
2014,1,2,21,0,0.0,0.0,0.0,17.4,17.4,53.3,831.7,1.6,223.5,0
2014,1,2,22,0,0.0,0.0,0.0,15.5,15.5,57.3,831.8,1.1,231.7,0
2014,1,2,23,0,0.0,0.0,0.0,14.2,14.2,59.6,831.9,3.1,21.9,0
2014,1,3,0,0,0.0,0.0,0.0,12.6,12.6,55.2,832.9,3.3,2.5,0
2014,1,3,1,0,0.0,0.0,0.0,11.6,11.6,55.1,833.1,3.4,5.6,0
