Hours since 00:00 Jan 1,CSP_LAT_s229_LON_s693.csv: Beam irradiance - DNI (W/m2),CSP_LAT_s229_LON_s693.csv: Dry bulb temp (C),CSP_LAT_s229_LON_s693.csv: Wet bulb temp (C)
0.5,0,11.6,6.6
1.5,0,10.7,6.0125
2.5,0,9.7,5.48125
3.5,0,8.7,4.6375
4.5,0,7.6,3.77187
5.5,0,6.7,3.10625
6.5,0,5.5,2.375
7.5,764.7,9.3,4.69063
8.5,941.8,13,6.67188
9.5,1019.8,16.4,8.19687
10.5,1061.5,19.3,9.45625
11.5,1084.7,21.6,10.35
12.5,1096.1,23.4,11.2125
13.5,1097.9,25.1,11.6234
14.5,1090.6,26.3,12.2375
15.5,1072.8,26.8,12.5031
16.5,1039.6,26.3,12.7844
17.5,978.7,25.2,13.1688
18.5,853.4,23.6,13.0531
19.5,461.3,21,12.6406
20.5,0,18.5,11.8594
21.5,0,16.5,11.0312
22.5,0,14.9,10.2125
23.5,0,13.8,9.58125
24.5,0,12.5,6.64062
25.5,0,11.9,6.50937
26.5,0,11.1,6.25625
27.5,0,10.5,5.8125
28.5,0,9.8,5.425
29.5,0,9.2,5.21562
30.5,0,8.9,4.68125
31.5,767.3,12.9,6.88437
32.5,945.2,16.8,8.675
33.5,1023.4,20.2,10.2781
34.5,1065.1,23.2,11.6375
35.5,1088.3,25.5,12.8438
36.5,1099.5,26,13.0312
37.5,1100.2,27.8,13.425
38.5,1091.8,29.2,14.2
39.5,1072.6,29.7,14.4656
40.5,1037.6,28.8,14.5422
41.5,974.6,27.3,14.7609
42.5,846,25.5,14.4844
43.5,451.1,22.5,13.7891
44.5,0,19.5,12.625
45.5,0,17.4,11.6969
46.5,0,15.5,10.5781
47.5,0,14.2,9.74687
48.5,0,12.6,7.83438
49.5,0,11.6,6.99063
50.5,0,10.5,6.20312
51.5,0,9.2,5.1375
52.5,0,7.8,4.05
53.5,0,6.6,3.24062
54.5,0,7.8,3.65938
55.5,729.6,11.5,5.64062
56.5,915.5,15.2,7.30937
57.5,996.9,18.3,8.6125
58.5,1040.2,20.9,9.65
59.5,1063.7,22.9,10.5562
60.5,1074.7,24.6,11.5531
61.5,1075.7,26.3,11.7687
62.5,1067,27.4,12.2828
63.5,1046.7,27.9,12.5875
64.5,1009.8,27.4,12.9469
65.5,943.5,26.3,13.4875
66.5,808.7,24.2,13.7313
67.5,408.6,21.9,13.4625
68.5,0,19.7,12.9031
69.5,0,17.8,12.175
70.5,0,16.2,11.3563
71.5,0,15.1,10.725
72.5,0,12.7,8.0125
73.5,0,12,7.39062
74.5,0,11.3,7.00313
75.5,0,10.9,6.60312
76.5,0,10.4,6.25937
77.5,0,10,6.01562
78.5,0,9.8,4.4875
79.5,0,13.7,6.27812
80.5,883.6,17.7,7.7
81.5,222,21,8.89062
82.5,317.6,23.8,9.89375
83.5,1041.3,25.9,10.9
