"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 1, 12:00 am",121.359,0.219009,26.5787,16.6285,573.913,290.521,290,0,0
"Jan 1, 01:00 am",121.359,0.438969,53.2728,33.2063,573.595,290.966,290,0,0
"Jan 1, 02:00 am",101.315,0.428018,43.3648,27.8274,573.127,290.093,290,0,0
"Jan 1, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 07:00 am",52.3912,0,0,0,573.763,290,290,412.367,0.400532
"Jan 1, 08:00 am",121.359,0.407919,49.5046,30.9958,573.294,291.019,290.483,573.294,0.957245
"Jan 1, 09:00 am",121.315,0.435227,52.7997,33.3951,573.378,291.329,290.473,573.378,0.964254
"Jan 1, 10:00 am",121.359,0.444953,53.9991,33.6458,573.352,290.419,290.028,573.352,0.965867
"Jan 1, 11:00 am",121.359,0.443549,53.8287,33.7209,573.324,290.553,290.039,573.324,0.964999
"Jan 1, 12:00 pm",121.359,0.442131,53.6566,33.7967,573.314,290.686,290.039,573.314,0.964231
"Jan 1, 01:00 pm",121.359,0.441427,53.5712,33.8344,573.266,290.755,289.994,573.266,0.963379
"Jan 1, 02:00 pm",126.471,0.438838,55.5004,35.276,573.336,291.458,290.426,573.336,0.94899
"Jan 1, 03:00 pm",126.511,0.43841,55.4636,35.3099,573.459,291.494,291.469,573.459,0.904849
"Jan 1, 04:00 pm",126.777,0.445094,56.4276,35.7653,573.451,290.893,290.838,573.451,0.898624
"Jan 1, 05:00 pm",126.756,0.444515,56.3449,35.7927,573.456,290.945,290.893,573.456,0.890859
"Jan 1, 06:00 pm",126.65,0.444683,56.3191,35.7561,573.213,290.935,290.876,573.213,0.894778
"Jan 1, 07:00 pm",121.36,0.439554,53.3442,33.935,572.152,291.002,290,0,0
"Jan 1, 08:00 pm",121.359,0.440854,53.5017,33.865,572.077,290.885,290,0,0
"Jan 1, 09:00 pm",121.359,0.442251,53.6712,33.7894,571.993,290.759,290,0,0
"Jan 1, 10:00 pm",121.359,0.443572,53.8315,33.7179,571.898,290.642,290,0,0
"Jan 1, 11:00 pm",121.359,0.444546,53.9497,33.6656,571.789,290.558,290,0,0
"Jan 2, 12:00 am",121.359,0.437642,53.1117,33.2753,571.662,291.212,290,0,0
"Jan 2, 01:00 am",121.359,0.437843,53.1362,33.2647,571.508,291.203,290,0,0
